Item,Caloric Value,Fat,Saturated Fats,Monounsaturated Fats,Polyunsaturated Fats,Carbohydrates,Sugars,Protein,Dietary Fiber,Cholesterol,Sodium,Water,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B12,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Calcium,Copper,Iron,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Zinc,Nutrition Density
Biriyani,290,12,3,4,2,34,3,9,2.5,28,700,55,3,0.1,15,0.3,0.12,2,0.6,0.15,4,0.1,0.5,2,40,0.1,2.5,40,0.5,120,250,8,1.5,6
Bisibelebath,190,6,1.5,2,1.5,33,3,6,3,5,500,60,4,0.08,20,0.1,0.08,1.5,0.4,0.1,6,0,0.4,2,50,0.08,2,35,0.4,110,240,6,1.2,5.5
Butter Naan,310,10,3,3,2,53,2,9,2.5,15,450,35,3,0.12,12,0.2,0.15,2,0.5,0.12,2,0.1,0.6,2,60,0.1,2.5,30,0.5,100,220,7,1.3,5.8
Chaat,250,12,2.5,3,2,35,5,7,4,10,600,50,5,0.1,18,0.2,0.1,2,0.5,0.1,7,0.1,0.5,3,35,0.1,2,35,0.4,110,230,7,1.2,5.7
Chappati,120,3,0.8,1,0.8,20,0.5,3,3,0,200,65,2,0.05,10,0,0.05,0.8,0.2,0.05,0.5,0,0.2,1,25,0.05,1.2,25,0.3,90,180,3,0.8,4.5
Dhokla,160,6,1,2,1.5,12,1,6,2,0,250,70,4,0.08,25,0,0.1,1.5,0.5,0.12,3,0,0.5,2,35,0.08,2,30,0.4,100,220,6,1,5.2
Dosa,170,7,1.5,2.5,1.5,27,1,4,2,2,250,60,3,0.07,15,0,0.08,1.2,0.4,0.1,1,0,0.4,2,20,0.07,1.5,20,0.3,80,150,5,0.9,5.3
Gulab Jamun,300,12,6,3,1,45,25,4,1,20,100,30,1,0.05,5,0.1,0.05,0.5,0.2,0.05,0.5,0,0.1,0.5,15,0.04,1,15,0.2,60,120,3,0.5,4
Halwa,280,11,5,3,1,50,22,4,1.5,18,120,30,2,0.05,8,0.1,0.05,0.6,0.2,0.05,1,0,0.2,1,20,0.05,1.2,20,0.2,70,130,3,0.6,4.2
Idly,70,0.4,0.1,0.1,0.1,15,0.5,2.5,1,0,120,80,0.5,0.03,12,0,0.04,0.4,0.1,0.03,0.2,0,0.1,0.2,10,0.03,0.5,8,0.1,25,70,2,0.3,3.5
Kathi Roll,320,14,3,5,3,38,3,10,2.5,35,650,40,2,0.1,15,0.3,0.12,2,0.5,0.12,3,0.1,0.5,2,50,0.1,2.5,30,0.4,100,220,7,1.3,5.8
Medu Vadai,250,15,3.5,5,3,22,1.5,6,2.5,10,300,40,2,0.08,12,0.1,0.1,1.5,0.4,0.1,2,0,0.4,2,30,0.08,2,25,0.3,90,200,6,1.2,5.4
Noodles,138,2.1,0.5,0.7,0.6,25,0.5,4.5,2,0,350,65,1,0.06,10,0,0.07,1,0.3,0.08,1,0,0.3,1,20,0.06,1.5,18,0.2,70,160,4,0.8,4.8
Paniyaram,220,9,2,3,2,28,2,5,2,5,280,55,2,0.05,15,0.1,0.07,1,0.3,0.08,2,0,0.3,1,25,0.06,1.5,20,0.2,80,170,4,0.8,5
Poori,260,10,2.5,3,2,30,1,3,2,5,400,45,2,0.07,12,0,0.1,1.2,0.3,0.1,2,0,0.3,1,20,0.07,1.8,20,0.3,80,180,4,0.9,5
Samosa,308,17,5,5,4,31,3,5,3,15,420,38,2,0.07,15,0.2,0.1,1.5,0.4,0.1,3,0.1,0.4,2,25,0.08,2,25,0.4,100,200,6,1.2,5.6
Tandoori Chicken,200,8,2.5,3,1.5,4,0,27,1,70,800,55,6,0.12,18,0.6,0.15,6,1,0.5,2,0.2,0.7,2,15,0.1,2.5,30,0.5,200,300,12,2.5,7.5
Upma,210,6,1.5,2,1.5,32,1,6,2,3,280,60,2,0.07,15,0,0.08,1.2,0.4,0.1,2,0,0.4,2,20,0.07,1.5,25,0.3,90,190,5,0.9,5.2
Vada Pav,290,12,3.5,4,2.5,40,3,6,3,10,600,35,2,0.08,15,0.2,0.1,2,0.5,0.12,4,0.1,0.5,2,25,0.1,2,30,0.4,100,220,7,1.2,5.5
Ven Pongal,210,6,1.5,2,1.5,32,1,6,2,3,300,65,3,0.08,15,0,0.08,1.2,0.4,0.1,2,0,0.4,2,20,0.08,1.5,25,0.3,90,190,5,0.9,5.2